AIML-B 5th Semester,9:00-9:50,9:50-10:40,10:40-11:30,11:30-12:20,12:20-1:10,1:10-2:00,2:00-2:50,2:50-3:40,3:40-4:30,4:30-5:20
Monday,AIML303,AIML305,,LUNCH,AIML301,,,,,
,VIPSF0372,VIPSF0492,,,VIPSF0320,,,,,
,506,506,,,506,,,,,
Tuesday,AIML305,AIML303,LUNCH,,AIML353 (G1) / AIML351 (G2),AIML353 (G1) / AIML351 (G2),,,,
,VIPSF0492,VIPSF0372,,,VIPSF0372 / VIPSF0320,VIPSF0372 / VIPSF0320,,,,
,506,506,,,411 / 415,411 / 415,,,,
Wednesday,,AIML301,LUNCH,,AIML303,AIML305,,LIB,,
,,VIPSF0320,,,VIPSF0372,VIPSF0492,,,,
,,505,,,506,506,,,,
Thursday,AIML355 (G2),AIML355 (G2),Mentorship,,AIML353 (G2) / AIML351 (G1),AIML353 (G2) / AIML351 (G1),LUNCH,AIML303,AIML301,
,VIPSF0492,VIPSF0492,Mentors,,VIPSF0372 / VIPSF0320,VIPSF0372 / VIPSF0320,,VIPSF0372,VIPSF0320,
,408,408,,,411 / 415,411 / 415,,506,506,
Friday,,,,,AIML301,LUNCH,AIML361,AIML305,,
,,,,,VIPSF0320,,VIPSF0336,VIPSF0492,,
,,,,,506,,507,505,,
